avgR,avgG,avgB,varR,varG,varB,label
7.209023e+01,1.019367e+02,1.386951e+02,5.292950e+01,5.017425e+01,6.700773e+01,0
1.157164e+02,1.098700e+02,1.195401e+02,6.144199e+01,6.475340e+01,6.715840e+01,0
1.259054e+02,1.233047e+02,1.250072e+02,4.966171e+01,5.445672e+01,5.706584e+01,0
1.308178e+02,1.226930e+02,1.275199e+02,5.631246e+01,6.023917e+01,5.773445e+01,0
1.244825e+02,1.483467e+02,1.583634e+02,4.428203e+01,5.560243e+01,5.993048e+01,0
1.115919e+02,9.583919e+01,8.962987e+01,5.925779e+01,5.679118e+01,5.534557e+01,0
1.364507e+02,1.478835e+02,1.624258e+02,5.213493e+01,4.740083e+01,4.305833e+01,0
9.286421e+01,1.285860e+02,1.522402e+02,4.168277e+01,3.862137e+01,4.732806e+01,0
1.379574e+02,1.186221e+02,3.834564e+01,7.671277e+01,7.121587e+01,3.221848e+01,0
9.868750e+01,1.057118e+02,1.121635e+02,3.961480e+01,4.431435e+01,5.798286e+01,0
1.038643e+02,1.255085e+02,1.475336e+02,4.599498e+01,4.843696e+01,5.540725e+01,0
1.516296e+02,1.172146e+02,9.556898e+01,5.003877e+01,4.608212e+01,3.097297e+01,0
9.572382e+01,1.108756e+02,1.287983e+02,4.665966e+01,4.691760e+01,4.925858e+01,0
9.632324e+01,1.535076e+02,1.821999e+02,3.874825e+01,2.793022e+01,4.610931e+01,0
1.689451e+02,1.622518e+02,1.463693e+02,4.698387e+01,4.461389e+01,5.932131e+01,0
1.033412e+02,1.465168e+02,1.746674e+02,4.391501e+01,2.948138e+01,4.625491e+01,0
1.056012e+02,1.332483e+02,1.574582e+02,3.439928e+01,3.484421e+01,4.480021e+01,0
1.334119e+02,1.292857e+02,1.178602e+02,7.472516e+01,5.152252e+01,3.277412e+01,0
1.805273e+02,1.038147e+02,3.496167e+01,6.591088e+01,4.002815e+01,1.386170e+01,0
8.516534e+01,1.042017e+02,1.603027e+02,6.115570e+01,6.081051e+01,5.733052e+01,0
1.044764e+02,5.088979e+01,5.096500e+01,7.412597e+01,3.679890e+01,3.305090e+01,0
1.261297e+02,1.244759e+02,1.580218e+02,5.531294e+01,5.161509e+01,3.296420e+01,0
1.409338e+02,1.492840e+02,1.580874e+02,5.727009e+01,4.288162e+01,2.040293e+01,0
1.612250e+02,1.079341e+02,8.638274e+01,6.198445e+01,4.898631e+01,3.329845e+01,0
4.124394e+01,1.035432e+02,1.514455e+02,3.559407e+01,3.096184e+01,3.608485e+01,0
